Profession,Description,Military Equivalent 
"Carpenter, Electrician, Plumber","Carpenters work in the building trades, focusing on the construction, installation, and repair of wooden structures and fixtures. They often read blueprints, measure and cut materials, and assemble framing, cabinetry, doors, and other wooden components. Carpenters need strong mathematical, problem-solving, and physical skills to ensure precise and safe construction projects.===Electricians specialize in installing, maintaining, and repairing electrical systems in residential, commercial, and industrial buildings. Their work includes reading technical diagrams, wiring circuits, and ensuring compliance with electrical codes. Electricians must be knowledgeable about safety protocols and have good troubleshooting skills to address various electrical issues efficiently. ===Plumbers focus on the installation, maintenance, and repair of water, drainage, and gas systems. From installing pipes and fixtures in new construction to fixing leaks and clogs, they ensure a clean and reliable water supply. Plumbers use technical expertise, problem-solving abilities, and compliance with safety regulations to keep systems running smoothly in homes, businesses, and other facilities.","Army (MOS): 12W (Carpentry and Masonry Specialist)
Marine Corps (MOS): 1371 (Combat Engineer – includes some carpentry tasks)
Navy (Rating): BU (Builder, in the Seabees)
Air Force (AFSC): 3E3X1 (Structural)
Coast Guard: No direct carpentry rating; DC (Damage Controlman) may do limited structural repair."
Police,"Police officers serve and protect communities by upholding laws, preventing crimes, and responding to emergencies. Their duties include patrolling neighborhoods, investigating incidents, making arrests, and assisting in crisis situations. Effective communication, courage, and a strong sense of responsibility are crucial for maintaining public trust and safety.","	Army (MOS): 31B (Military Police)
Marine Corps (MOS): 5811 (Military Police)
Navy (Rating): MA (Master-at-Arms)
Air Force (AFSC): 3P0X1 (Security Forces)
Coast Guard (Rating): ME (Maritime Enforcement Specialist)"
Fire,"Firefighters are first responders who tackle fires, accidents, and other emergencies to protect lives and property. They perform rescue operations, operate firefighting equipment, and provide medical assistance when needed. Courage, teamwork, and the ability to stay calm under pressure are essential qualities for this role.","Army (MOS): 12M (Firefighter)
Marine Corps (MOS): 7051 (Aircraft Rescue and Firefighting)
Navy (Rating): DC (Damage Controlman) – specializes in shipboard firefighting
Air Force (AFSC): 3E7X1 (Fire Protection)
Coast Guard: No single firefighting rating; DC handles damage control/firefighting tasks"
EMT,"Emergency Medical Technicians (EMTs) deliver critical first aid and medical care in urgent situations, often as part of an ambulance crew. They assess patients, stabilize injuries, and transport individuals to healthcare facilities. Quick decision-making, medical knowledge, and compassion are vital to providing lifesaving support in high-pressure environments.","Army (MOS): 68W (Combat Medic Specialist)
Marine Corps: Typically served by Navy Hospital Corpsmen (HM)
Navy (Rating): HM (Hospital Corpsman)
Air Force (AFSC): 4N0X1 (Aerospace Medical Service)
Coast Guard (Rating): HS (Health Services Technician)"
Nurse - RN,"Registered Nurses (RNs) provide patient care, administer medications, and collaborate with doctors and other healthcare professionals to develop treatment plans. They often oversee patient records, offer emotional support, and educate individuals on wellness practices. RNs require strong clinical knowledge, critical thinking, and empathy to deliver comprehensive care.","Army (Officer AOC): 66H (Medical-Surgical Nurse)
Marine Corps: No direct MOS; relies on Navy Nurse Corps Officers
Navy (Officer Designator): Nurse Corps (2900 series)
Air Force (AFSC): 46N3 (Clinical Nurse)
Coast Guard: Commissioned nurses typically come through the USPHS or Navy Nurse Corps on special assignment"
Nurse - LPN,"Licensed Practical Nurses (LPNs) offer basic nursing care under the supervision of RNs and doctors. Their tasks often include monitoring patient health, changing dressings, taking vital signs, and assisting with daily activities. LPNs need solid clinical skills, attention to detail, and compassion to support patient well-being effectively.","Army (MOS): 68C (Practical Nursing Specialist)
Marine Corps: Relies on Navy Corpsmen or Nurse Corps (no separate MOS)
Navy (Rating): HM (Hospital Corpsman) with advanced training
Air Force (AFSC): 4N0X1 (Aerospace Medical Service)
Coast Guard: HS (Health Services Technician)"
Graphic Design,"Graphic designers create visual content to communicate messages effectively, utilizing elements like typography, color, and imagery. They develop designs for branding, advertising, websites, and print materials. Creativity, a strong sense of aesthetics, and proficiency with design software are key for producing compelling and cohesive visual media.","Army (MOS): 25M (Multimedia Illustrator)
Marine Corps (MOS): 4600-series (Combat Camera & Visual Information)
Navy (Rating): MC (Mass Communication Specialist)
Air Force (AFSC): 3N0X2 or 3N0X5 (Photojournalist / Broadcast Journalist)
Coast Guard (Rating): PA (Public Affairs Specialist)"
Sales,"Sales professionals connect customers with products or services, focusing on building relationships and meeting revenue goals. They identify customer needs, offer suitable solutions, negotiate prices, and ensure a positive buying experience. Strong communication, product knowledge, and the ability to handle objections are crucial for success in sales.","	No direct “sales” job exists in the military; similar duties fall under supply, contracting, or retail services on base.
Army (MOS): 51C (Acquisition, Logistics, and Technology Contracting NCO)
Marine Corps (MOS): 3043 (Supply Administration) or 3432 (Finance Technician)
Navy (Rating): LS (Logistics Specialist)
Air Force (AFSC): 6C0X1 (Contracting)
Coast Guard (Rating): SK (Storekeeper)"
Influencer*,"Influencers leverage social media platforms to create content, engage audiences, and collaborate with brands. They often specialize in niches—such as beauty, fitness, travel, or gaming—and rely on authenticity and consistent posting to grow their following. Strong personal branding, creativity, and an understanding of marketing trends are essential for building and monetizing their platforms.","No direct “influencer” specialty exists; comparable roles may focus on public affairs or social media.
Army (MOS): 46Q (Public Affairs Specialist) or 25V (Combat Documentation/Production)
Marine Corps (MOS): 4500–4600 series (Public Affairs / Combat Camera)
Navy (Rating): MC (Mass Communication Specialist)
Air Force (AFSC): 3N0X2 or 3N0X5 (Public Affairs)
Coast Guard (Rating): PA (Public Affairs Specialist)"
Mechanic,"Mechanics diagnose and repair motor vehicles, engines, and mechanical systems. They use diagnostic tools, test parts, and perform routine maintenance to ensure the safety and efficiency of cars, trucks, or specialized equipment. Technical expertise, manual dexterity, and attention to detail are essential for identifying issues and carrying out repairs successfully.","Army (MOS): 91B (Wheeled Vehicle Mechanic), others in 91-series
Marine Corps (MOS): 3521 (Automotive Maintenance Technician)
Navy (Ratings): EN (Engineman), MM (Machinist’s Mate), AD (Aviation Machinist’s Mate)
Air Force (AFSC): 2T3X1 (Vehicle Maintenance) or 2A6X* (Aerospace Maintenance)
Coast Guard (Rating): MK (Machinery Technician)"
